Date,Account,Description,Branch,Branch Name,Opening Balance,Debit Mvmt,Credit Mvmt,Closing Balance
6/30/2018,100-01,CASH ON HAND - MMK,AMP,AMARAPURA,"7,382,270","400,922,740","-396,061,900","12,243,110"
6/30/2018,100-01,CASH ON HAND - MMK,ATY,Aye Thar Yar,"3,729,900","60,369,000","-62,897,650","1,201,250"
